ProdNames,Prices,sales
【DELL 戴爾】15吋i7獨顯MX輕薄筆電(Inspiron/15-3530-R2728STW/i7-1355U/16G/512G/MX550/Win11/銀河星跡),"$29,999",總銷量>50
【DELL 戴爾】SE2422H-4Y 24型 VA 薄邊框電腦螢幕-四年保固(FreeSync/75Hz/TUV護眼),"$3,400",總銷量>100
【DELL 戴爾】i5十核桌上型電腦(Inspiron 3020T/i5-13400/8G/256G+1TB/W11),"$23,990",總銷量>100
【DELL 戴爾】U2422H-4Y 24型 IPS 窄邊美型螢幕(Type-C/樞紐旋轉),"$6,988",總銷量>100
【DELL 戴爾】P2422H-4Y 24型 IPS 窄邊框美型螢幕-四年保固(樞紐旋轉),"$5,988",總銷量>100
【DELL 戴爾】13代i7十六核心桌上型電腦(3020S-R3708BTW/i7-13700/16G/1TB/W11),"$25,999",
【DELL 戴爾】14吋i5 2-in-1輕薄筆電(Inspiron 14/14-7430-R1508STTW/i5-1335U/16G/512G/Win11/銀河星跡),"$32,999",
【DELL 戴爾】i3四核商用電腦(Vostro Small 3020/i3-13100/8G/256G+1TB/W11P),"$16,999",
【DELL 戴爾】14吋i7輕薄筆電(Inspiron/14-5430-R1708STW-4Y/i7-1360P/16G/512G/W11/銀河星跡),"$36,999",
【DELL 戴爾】SE2722H-4Y 27型 VA 薄邊框電腦螢幕-四年保固(FreeSync/75Hz/TUV護眼),"$3,988",總銷量>100
【DELL 戴爾】SE2222H-4Y 22型 VA 薄邊框電腦螢幕-四年保固(60Hz/TUV護眼),"$3,088",總銷量>100
【DELL 戴爾】16吋i7輕薄筆電(Inspiron/16-5630-R3808STW/i7-1360P/16G/1TB/Win11/銀河星跡),"$37,990",
【DELL 戴爾】13吋i7 EVO輕薄筆電(Inspiron/13-5330-R2808PTW/i7-1360P/16G/1TB/Win11/淡粉),"$37,990",
【DELL 戴爾】16吋i5輕薄商務筆電 (Vostro 5000/V16-5630-R1608ATW/i5-1340P/16G/512G/Win11P/深空灰),"$33,990",
【DELL 戴爾】13吋i7 EVO輕薄筆電(Inspiron/13-5330-R2808STW/i7-1360P/16G/1TB/Win11/銀河星跡),"$37,990",
【DELL 戴爾】Inspiron 5000 14吋輕薄筆電-銀河星跡 14-5430-R1708STW(i7-1360P/16G/512G/Win11),"$33,990",
【DELL 戴爾】office 2021組★15吋i7獨顯MX輕薄筆電(Inspiron/15-3530-R2728STW/i7-1355U/16G/512G/MX550/W,"$36,990",總銷量>3萬
【DELL 戴爾】14吋i7輕薄筆電(Inspiron/14-5430-R3808STW/i7-1360P/16G/1TB/Win11/銀河星跡),"$37,990",
【DELL 戴爾】15.6吋i9輕薄筆電(XPS/XPS15-9530-R2988STTW/i9-13900H/32G/1TB/RTX4070/W11P/冰河銀),"$106,999",
【DELL 戴爾】DA305 USB Type-C 六合一 6合1 HUB 轉接器 轉接頭 da305 HDMI RJ-45 DP(高達90瓦的電力傳遞),"$2,950",
【DELL 戴爾】14吋i5輕薄筆電(Inspiron/14-5430-R1508STW-4Y/i5-1340P/16G/512G/W11/銀河星跡),"$32,999",
【DELL 戴爾】14吋i5輕薄筆電(Vostro/V14-3430-R1508ATW/i5-1335U/8G/512G/Win11P/泰坦灰),"$27,990",
【DELL 戴爾】D3100 媒體插槽座 USB3.0/USB2.0/HDMI,"$4,548",
【DELL 戴爾】14吋R5輕薄筆電 (Inspiron 5000/14-5435-R1608STW/R5-7535U/16G/512G/Win11/銀河星跡),"$27,990",
【DELL 戴爾】Inspiron 5000 14吋輕薄筆電-銀河星跡 14-5430-R1508STW(i5-1340P/16G/512G/Win11),"$29,990",
【DELL 戴爾】13吋i7輕薄筆電(XPS/XPS13-9320-R3708STTW/i7-1360P/16G/512G/win11P/暮雲白),"$72,990",
【DELL 戴爾】13吋i7 EVO輕薄筆電(Inspiron/13-5330-R2808PTW-4Y/i7-1360P/16G/1TB/W11/淡粉),"$39,999",
【DELL 戴爾】13吋i7 EVO輕薄筆電(Inspiron/13-5330-R2808STW-4Y/i7-1360P/16G/1TB/Win11/銀河星跡),"$39,999",
【DELL 戴爾】14吋i5獨顯RTX輕薄筆電(Inspiron/14-7430-R2668STW/i5-13500H/16G/1TB/RTX3050/WIN11/銀),"$40,999",
【DELL 戴爾】15吋i5輕薄筆電(Inspiron 3000/15-3530-R1508STW/i5-1335U/8G/512G/Win11/銀河星跡),"$24,990",
【DELL 戴爾】Inspiron 5000 16吋輕薄筆電-銀河星跡 16-5630-R1708STW(i7-1360P/16G/512G/Win11),"$33,990",
【DELL 戴爾】14吋i5輕薄筆電(Inspiron/14-5430-R3608STW/i5-1340P/16G/1TB/Win11/銀河星跡),"$34,990",
【DELL 戴爾】14吋i7輕薄筆電(Inspiron/14-7430-R1808STW/i7-13700H/16G/512G/WIN11/銀河星跡),"$39,990",
【DELL 戴爾】16吋i9獨顯RTX電競筆電(Alienware/ALWM16-R1908QBTW/i9-13900HX/32G/1TB/RTX4080/WIN11/深灰),"$129,999",
【DELL 戴爾】D6000(USB3.0 Type-C 11合一 多功能轉接器 HUB 通用擴充基座),"$7,413",總銷量>50
【DELL 戴爾】Inspiron Small Desktop i3 4核心桌上型電腦 3020S-R1308BTW(i3-13100/8G/512G/W11),"$19,990",
【DELL 戴爾】14吋i7行動工作站筆電(Precision/3480-I716G512G-NON/I7-1370P/16G/512G/win11P),"$49,990",
【DELL 戴爾】14吋i5獨顯MX輕薄商務筆電(Vostro/V14-3430-R1528ATW/i5-1335U/8G/512G/MX550/Win11P/泰坦灰),"$29,990",
【DELL 戴爾】14吋i5獨顯RTX輕薄筆電(Inspiron/14-5430-R2648STW/i5-1340P/16G/512G/RTX2050/W11/銀河星跡),"$33,999",
【DELL 戴爾】P1917S-4Y 19型 IPS 專業多工螢幕(樞紐旋轉/60Hz/Type-C/TUV護眼),"$5,288",
【DELL 戴爾】15吋i5輕薄筆電(Inspiron 3000/15-3530-R1508STW/i5-1335U/8G/512G/Win11/銀河星跡),"$24,990",
【DELL 戴爾】Office 2021組★i3四核商用電腦(Vostro Small 3020/i3-13100/8G/256G+1TB/W11P),"$19,999",總銷量>3萬
【DELL 戴爾】17吋i7輕薄筆電(XPS/XPS17-9730-R2788STTW/i7-13700H/32G/1TB/RTX4070/Win11P/冰河銀),"$115,999",
【DELL 戴爾】14吋i7獨顯RTX輕薄筆電(Inspiron/14-5430-R2848STW/i7-1360P/16G/512G/RTX2050/W11/銀河星跡),"$39,999",
【DELL 戴爾】15.6吋i7行動工作站筆電(Precision/3581-I78G512G-A500/I7-13800H/8G/512G/A500/win11P),"$63,999",
【DELL 戴爾】戴爾Dell U2723QE 27型(4K液晶螢幕/顯示器 TypeC),"$23,880",
【DELL 戴爾】16吋i7電競筆電 (Alienware/ALWM16-R1788QBTW/i7-13700HX/16G/512G/RTX4060/WIN11/月球暗面),"$75,999",
【DELL 戴爾】DA310 USB Type-C 七合一 7合1 HUB 轉接器 轉接頭 DA 310 da310 HDMI RJ-45 VGA DP(4K高清),"$3,919",總銷量>100
【DELL 戴爾】i5 RTX3060十核商用電腦(Vostro Tower?3020/i5-13400F/16G/256G+1TB/RTX3060-12G/W11P),"$35,999",
【DELL 戴爾】13吋i5 EVO輕薄筆電(Inspiron/13-5330-R2608PTW/i5-1340P/16G/1TB/Win11/淡粉),"$34,990",
【DELL 戴爾】i5 RTX3050特仕電腦(Inspiron 3020T/i5-13400/8G/256G SSD+1TB/RTX3050 8G/W11),"$24,990",
【DELL 戴爾】S2721DS-4Y 27型 IPS 2K 電腦螢幕(FreeSync/樞紐旋轉/TUV護眼),"$8,888",
【DELL 戴爾】14吋i7獨顯RTX電競筆電(Alienware/ALWX14-R1888QBTW/i7-13620H/32G/1TB/RTX4060/WIN11/銀),"$89,990",
【DELL 戴爾】16吋i7獨顯RTX輕薄筆電(Inspiron/16-5630-R2848STW/i7-1360P/16G/1TB/RTX2050/Win11/銀),"$43,990",
【DELL 戴爾】16吋i5輕薄筆電(Inspiron 5000/16-5630-R2648STW/i5-1340P/16G/512G/RTX2050/Win11/銀河星跡),"$33,999",
【DELL 戴爾】16吋i7輕薄筆電(Inspiron/16-7630-R1808STW/i7-13700H/16G/512G/WIN11/銀河星跡),"$39,990",
【DELL 戴爾】15吋i5獨顯MX輕薄筆電(Inspiron/15-3530-R2528STW/i5-1335U/16G/512G/MX550/Win11/銀河星跡),"$29,990",
【DELL 戴爾】16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R2768STW/i7-13700H/16G/1TB/RTX3050/WIN11/銀),"$46,990",
【DELL 戴爾】office 2021組★14吋i5 2-in-1輕薄筆電 (Inspiron 14/14-7430-R1508STTW/i5-1335U/16G/512G/W,"$36,999",總銷量>3萬
【DELL 戴爾】16吋i7獨顯輕薄筆電(Inspiron/16-7630-R2888STWi7-13700H/32G/1TB/RTX4060/WIN11/銀河星跡),"$61,999",
【DELL 戴爾】P2723QE-4Y 27型 IPS 4K 窄邊美型螢幕(Type-C),"$16,888",
【DELL 戴爾】16吋i7輕薄商務筆電 (Vostro 5000/V16-5630-R2808ATW/i7-1360P/16G/512G/Win11P/深空灰),"$40,990",
【DELL 戴爾】16吋i5輕薄筆電(Inspiron/16-7630-R1608STW/i5-13500H/16G/512G/WIN11/銀河星跡),"$35,990",
【DELL 戴爾】M365組★15吋i5輕薄筆電(Inspiron 3000/15-3530-R1508STW/i5-1335U/8G/512G/Win11/銀河星跡),"$26,990",總銷量>1萬
【DELL 戴爾】繪圖板組★14吋i5輕薄筆電(Vostro/V14-3430-R1508ATW/i5-1335U/8G/512G/Win11P/泰坦灰),"$29,490",總銷量>100
【DELL 戴爾】WD22TB4(擴充基座 Thunderbolt 4 Hub 多功能媒體轉接器 Type-C Dock),"$11,131",
【DELL 戴爾】16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R3868STW/i7-13700H/16G/1TB/RTX4050/WIN11/銀),"$49,999",
【DELL 戴爾】office 2021組★13吋i7輕薄筆電(Inspiron/13-5330-R2808PTW-4Y/i7-1360P/16G/1TB/W11/淡粉),"$43,999",總銷量>3萬
【DELL 戴爾】UD22(USB-C 通用擴充基座),"$10,478",
【DELL 戴爾】15吋i7獨顯電競筆電 (G15-5530-R1788BTW/i7-13650HX/16G/512G/RTX4060/WIN11/耀夜黑),"$50,990",
【DELL 戴爾】office 2021組★15吋i5輕薄筆電(Inspiron 3000/15-3530-R1508STW/i5-1335U/8G/512G/Win11/銀,"$28,990",總銷量>3萬
【DELL 戴爾】繪圖板組★15吋i5輕薄筆電(Inspiron 3000/15-3530-R1508STW/i5-1335U/8G/512G/Win11/銀河星跡,"$26,490",總銷量>100
【DELL 戴爾】14吋i7獨顯RTX電競筆電(Alienware/ALWX14-R1768QBTW/i7-13620H/16G/512G/RTX4050/WIN11/銀),"$69,990",
【DELL 戴爾】14吋i7二合一輕薄筆電(Inspiron 7430/14-7430-R1708STTW/i7-1355U/16G/512G/WIN11/白金銀),"$38,990",
【DELL 戴爾】M365超值組★14吋i5 2-in-1輕薄筆電 (Inspiron 14/14-7430-R1508STTW/i5-1335U/16G/512G/Win1,"$34,999",總銷量>1萬
【DELL 戴爾】office 2021組★14吋i5輕薄筆電(Vostro/V14-3430-R1508ATW/i5-1335U/8G/512G/Win11P/泰坦灰),"$31,990",總銷量>3萬
【DELL 戴爾】office 2021組★14吋i7輕薄筆電(Inspiron/14-5430-R1708STW-4Y/i7-1360P/16G/512G/W11/銀河星,"$40,999",總銷量>3萬
【DELL 戴爾】M365超值組★14吋i7輕薄筆電(Inspiron/14-5430-R1708STW-4Y/i7-1360P/16G/512G/W11/銀河星跡),"$38,999",總銷量>1萬
【DELL 戴爾】130W TYPE-C 充電器(XPS 15 9575 9580 DA130PM170 Precision 5530 2IN1 3540),"$2,736",
【DELL 戴爾】office 2021組★13吋i7輕薄筆電(Inspiron/13-5330-R2808STW-4Y/i7-1360P/16G/1TB/Win11/銀河,"$43,999",總銷量>3萬
【DELL 戴爾】M365超值組★15吋i7獨顯MX輕薄筆電(Inspiron/15-3530-R2728STW/i7-1355U/16G/512G/MX550/Win1,"$34,990",總銷量>1萬
【DELL 戴爾】i3四核桌上電腦(Inspiron 3020T/i3-13100/8G/512G/W11),"$15,999",
【DELL 戴爾】16吋i9電競筆電(Inspiron G16/G16-7630-R1988BTW/i9-13900HX/16G/1TB/RTX4060/WIN11/暗耀黑),"$62,999",
【DELL 戴爾】16吋i7獨顯電競筆電 (G16-7630-R1888BTW/i7-13700HX/16G/1TB/RTX4060/WIN11/暗耀黑),"$58,999",
【DELL 戴爾】G3223Q-4Y 32型 IPS 4K 144Hz 電競螢幕(FreeSync/HDR600/HDMI2.1/TUV護眼),"$19,988",
【DELL 戴爾】14吋i5輕薄筆電(Inspiron/14-7430-R1608STW/i5-13500H/16G/512G/WIN11/銀河星跡),"$35,990",
【DELL 戴爾】14吋i5獨顯MX輕薄筆電(Inspiron/14-5430-R1528STW/i5-1340P/16G/512G/MX550/Win11/銀河星跡),"$33,990",
【DELL 戴爾】15吋i7獨顯電競筆電(G15-5530-R1888BTW/i7-13700HX/16G/1TB/RTX4060/WIN11/耀夜黑),"$57,990",
【DELL 戴爾】P2722H-4Y 27型 IPS 窄邊美型螢幕-四年保固(樞紐旋轉),"$7,988",總銷量>100
【DELL 戴爾】M365組★14吋i5輕薄筆電(Vostro/V14-3430-R1508ATW/i5-1335U/8G/512G/Win11P/泰坦灰),"$29,990",總銷量>1萬
【DELL 戴爾】16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R3788STW-4Y/i7-13700H/16G/1TB/RTX4060/W11/銀),"$59,999",
【DELL 戴爾】office 2021組★16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R3788STW-4Y/i7-13700H/16G/1TB/RTX,"$63,999",總銷量>3萬
【DELL 戴爾】M365超值組★14吋i5輕薄筆電(Inspiron/14-5430-R1508STW-4Y/i5-1340P/16G/512G/W11/銀河星跡),"$34,999",總銷量>1萬
【DELL 戴爾】M365超值組★16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R3788STW-4Y/i7-13700H/16G/1TB/RTX406,"$61,999",總銷量>1萬
【DELL 戴爾】P2423D-4Y 24型 IPS 2K 窄邊美型螢幕(TUV護眼),"$9,688",
【DELL 戴爾】P3223QE-4Y 32型 IPS 4K 多工美型螢幕(Type-C/TUV護眼),"$19,888",
【DELL 戴爾】Office 2021組★i5十核桌上型電腦(Inspiron 3020T/i5-13400/8G/256G+1TB/W11),"$27,990",總銷量>3萬
【DELL 戴爾】i5十核商用電腦(Vostro Small 3020/i5-13400/8G/256G+1TB/W11P),"$23,990",總銷量>50
【DELL 戴爾】15吋i9獨顯電競筆電(G15-5530-R1988BTW/i9-13900HX/16G/1TB/RTX4060/WIN11/耀夜黑),"$57,999",
【DELL 戴爾】office 2021組★14吋i5輕薄筆電(Inspiron/14-5430-R1508STW-4Y/i5-1340P/16G/512G/W11/銀河星,"$36,999",總銷量>3萬
【DELL 戴爾】U2421E-4Y 24型 IPS 窄邊超薄邊框電腦螢幕(16:10/60Hz/HDMI/Type-C/樞紐旋轉),"$14,888",
【DELL 戴爾】M365超值組★13吋i7輕薄筆電(Inspiron/13-5330-R2808PTW-4Y/i7-1360P/16G/1TB/W11/淡粉),"$41,999",總銷量>1萬
【DELL 戴爾】U3223QE-3Y 32型 IPS 4K 窄邊美型螢幕(Type-C/HDR400),"$34,847",
【DELL 戴爾】P2723D-4Y 27型 IPS 2K電腦螢幕(TUV護眼),"$10,888",
【DELL 戴爾】P2723DE-4Y 27型 IPS 2K 窄邊美型螢幕(Type-C),"$12,888",
【DELL 戴爾】P2722HE-4Y 27型 IPS 窄邊美型螢幕(Type-C/樞紐旋轉/TUV護眼),"$9,988",
【DELL 戴爾】16吋i9獨顯電競筆電 (G16-7630-R1988WTW/i9-13900HX/16G/1TB/RTX4060/WIN11/皓影白),"$65,990",
【DELL 戴爾】i5 GTX1650特仕電腦(Inspiron 3020T/i5-13400/8G/256G SSD+1TB/GTX1650/W11),"$25,990",總銷量>50
【DELL 戴爾】i9 RTXA4000工作站(Precision 3660/i9-13900/128G DDR5/2TB SSD+4TB HDD/RTXA4000/W11P),"$169,000",
【DELL 戴爾】i7工作站(Precision 3660/i7-13700/16G/2T HDD+512G SSD/W11P),"$54,900",
【DELL 戴爾】U3223QE-3Y 32型 IPS 4K 窄邊美型螢幕(Type-C/HDR400),"$27,888",
【DELL 戴爾】i5特仕商用電腦(V3910-R1548BTW/i5-12400/16G/512G SSD+2TB HDD/W11P),"$29,900",
【DELL 戴爾】U2722DE-4Y 27型 IPS 2K 廣色域美型螢幕(Type-C(90W供電)/樞紐旋轉),"$14,888",
【DELL 戴爾】14吋i7獨顯MX輕薄商務筆電(Vostro/V14-3430-R2728ATW/i7-1355U/16G/512G/MX550/Win11P/泰坦灰,"$34,990",
【DELL 戴爾】U2722D-4Y 27 型 IPS 2K 窄邊美型螢幕(Type-C/樞紐旋轉/TUV護眼),"$13,888",
【DELL 戴爾】13代i7薄型商用電腦(3020S/i7-13700/32G/512G SSD+2TB HDD/180W/W11P),"$37,900",
【DELL 戴爾】i7工作站(Precision 3660/i7-12700/16G DDR5/2T SSD+2TBX2 HDD/W11P),"$59,900",
【DELL 戴爾】微軟M365組★i5十核桌上型電腦(Inspiron 3020T/i5-13400/8G/256G+1TB/W11),"$25,990",總銷量>1萬
【DELL 戴爾】15吋 Essential 筆電包(華碩 惠普 聯想 ASUS HP LENOVO 宏碁 索尼 微星 ACER SONY MSI),$704,
【DELL 戴爾】i3四核商用電腦(Vostro Tower?3020/i3-13100/8G/256G+1TB/W11P),"$21,990",
【DELL 戴爾】i5 GTX1650特仕商用電腦(V3910-R1548BTW/i5-12400F/16G/512G SSD+2TB HDD/GTX1650/W11P),"$34,900",
【DELL 戴爾】i5 GTX1660特仕商用電腦(V3910-R1548BTW/i5-12400F/16G/512G SSD+2TB HDD/GTX1660/W11P),"$37,900",
【DELL 戴爾】i7 RTX3070工作站(Precision 3660/i7-12700/32G DDR5/2TB SSD+2TB HDD/RTX3070_8G/W11P),"$84,900",
【DELL 戴爾】i7繪圖工作站(Precision 3660/i7-12700/T1000_8G/16G DDR5/1TB SSD+1TB HDD/W11P),"$69,900",
【DELL 戴爾】S2721H-4Y 27型 IPS 窄邊框 電腦螢幕-安心四年保(喇叭/FreeSync/75Hz),"$6,688",
【DELL 戴爾】i7 RTX3060Ti工作站(Precision 3660/i7-13700/32G DDR5/2T SSD+2TB HDD/RTX3060Ti_8G/W11P),"$84,900",
【DELL 戴爾】16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R3788STW/i7-13700H/16G/1TB/RTX4060/WIN11/銀),"$57,990",
【DELL 戴爾】Office 2021組★i3四核桌上電腦(Inspiron 3020T/i3-13100/8G/512G/W11),"$18,999",總銷量>3萬
【DELL 戴爾】i9 RTX3070二十四核商用電腦(XPS8960-R1988WTW/i9-13900K/32G/1TB/RTX3070/W11P),"$76,990",
【DELL 戴爾】i9 RTX3080繪圖工作站(Precision 3660/i9-12900/128G DDR5/2TB SSD+4TB HDD/RTX3080_10G/W11P,"$149,900",
【DELL 戴爾】i7獨顯T400工作站(Precision 3660/i7-13700/T400-4G/16G/2T HDD+2TB SSD/W11P),"$64,900",
【DELL 戴爾】M365超值組★15吋i5輕薄筆電(Inspiron 3000/15-3520-R1508STW/i5-1235U/8G/512G/Win11/銀河星,"$20,999",總銷量>1萬
【DELL 戴爾】i7特仕桌上型(3020T/i7-13700/32G/512G SSD+2TB HDD/W11P),"$39,900",
【DELL 戴爾】i7 RTX3070十六核商用電腦(XPS8960-R1788WTW/i7-13700/16G/512G/RTX3070/W11P),"$59,999",
【DELL 戴爾】i7立式工作站(Precision/T3660-I78G512G-NON/i7-13700/8G/512G/DRW/W11P),"$43,999",
【DELL 戴爾】i7商用電腦(Vostro Tower 3020/i7-13700/16G/512SSD+1TB HDD/W11P),"$39,900",
【DELL 戴爾】i5 GTX1660商用電腦(Vostro Tower 3020/i5-13400F/32G/2TB SSD+2TB HDDD/GTX1660 6G/W11P),"$49,900",
【DELL 戴爾】i7 GTX1660商用電腦(V3020T/i7-13700F/16G/512G SSD+2TB HDD/GTX1660/W11P),"$57,900",
【DELL 戴爾】i7十六核桌上型電腦(Inspiron 3020T/i7-13700/16G/512G/W11),"$31,990",
【DELL 戴爾】office 2021組★15吋i5輕薄筆電(Inspiron 3000/15-3520-R1508STW/i5-1235U/8G/512G/Win11/銀,"$22,999",總銷量>3萬
【DELL 戴爾】P2423DE-4Y 24型 IPS 2K 窄邊美型螢幕(Type-C/TUV護眼),"$10,888",
【DELL 戴爾】U2723QE-4Y 27型 IPS 4K 窄邊美型螢幕(Type-C(90W供電)/樞紐旋轉/HDR400),"$23,888",
【DELL 戴爾】M365超值組★13吋i7輕薄筆電(Inspiron/13-5330-R2808STW-4Y/i7-1360P/16G/1TB/Win11/銀河星跡,"$41,999",總銷量>1萬
【DELL 戴爾】65W 4.5*3.0mm 充電器(P74G P75G P76G P83G Vostro 15-3558 3458 3459 3559 5459),$836,
【DELL 戴爾】i7 RTX4080十六核商用電腦(XPS8960-R2768WTW/i7-13700K/32G/512G+2TB/RTX4080/W11P),"$91,990",
【DELL 戴爾】i7 RTX3080工作站(Precision 3660/i7-12700/64G DDR5/2TB SSD+2TB HDD/RTX3080_10G/W11P),"$119,900",
【DELL 戴爾】i5 RTX3060特仕商用電腦(V3020T/i5-13400F/32G/512G SSD+2TB HDD/RTX3060/W11P),"$51,900",
【DELL 戴爾】Office 2021組★i5 GTX1650特仕電腦(Inspiron 3020T/i5-13400/8G/256G SSD+1TB/GTX1650/W11),"$28,990",總銷量>3萬
【DELL 戴爾】130W TYPE-C 充電器(XPS 15 9575 9580 14 5480 14 7480 12 5280 7275 7280),"$2,553",
【DELL 戴爾】20W快充行動電源組★15吋i5輕薄筆電(Inspiron 3000/15-3520-R1508STW/i5-1235U/8G/512G/Win11,"$20,499","總銷量>3,000"
【DELL 戴爾】福利品 Dell R720 機架式伺服器 E5-2670*2 /16G/750W(套餐八),"$19,900",
【DELL 戴爾】福利品 Dell R730XD 機架式伺服器 E5-2630V4*2/H330/32G/2T/750W(套餐三),"$33,900",
【DELL 戴爾】U2722D-3Y 27 型 IPS 2K 窄邊美型螢幕(Type-C/樞紐旋轉/TUV護眼),"$11,888",總銷量>50
【DELL 戴爾】i5 GTX1660商用電腦(V3020T/i5-13400F/16G/512G SSD+2TB/GTX1660 6G/W11P),"$44,900",
【DELL 戴爾】20W快充行動電源組★15吋i7獨顯MX輕薄筆電(Inspiron/15-3530-R2728STW/i7-1355U/16G/512G/MX5,"$34,490","總銷量>3,000"
【DELL 戴爾】i5 GTX1660商用電腦(V3020T/i5-13400F/32G/512G SSD+2TB HDD/GTX1660/W11P),"$47,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2630V4*2/H330/16G/300G SAS*4/450W(套餐二),"$29,900",
【DELL 戴爾】i7 GTX1660商用電腦(Vostro Tower 3020/i7-13700F/32G/1TSSD+1TB HDD/GTX1660 6G/W11P),"$52,900",
【DELL 戴爾】65W TYPE-C 充電器(Latitude 3300 5300 5300 2-In-1 5400 5500 7200 2-In-1 7300 7400),"$1,596",
