ProdNames,Prices,sales
【Ezstick】DELL XPS 15 9570 P56F 觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL XPS 15 9570 P56F 觸控版 防藍光螢幕貼(可選鏡面或霧面),"$1,041",
【Ezstick】DELL Inspiron 15 3567 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9360 P54G 指紋機 非觸控版 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL XPS 13 9360 P54G 指紋機 非觸控版 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL XPS 13 9360 P54G 無指紋 非觸控版 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL XPS 13 9360 P54G 指紋機 非觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 5580 P77F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 5580 P77F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5580 P77F 15吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 15 5580 P77F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 3576 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 3576 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 3576 TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 3576 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL G5-5587 P72F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 3576 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL G3-3579 P75F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL G3-3579 P75F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL G3-3579 P75F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL G5-5587 P72F 紅色機專用 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL G5-5587 P72F 黑色機專用 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL G5-5587 P72F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL G5-5587 P72F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 7380 P83G 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL Inspiron 13 7380 P83G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 7380 P83G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL G3-3579 P75F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL G3-3579 P75F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL G5-5587 P72F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 7580 P70F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 7580 P70F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 7580 P70F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 7580 P70F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 7580 P70F 15吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL XPS 13 9380 P82G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9380 P82G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL XPS 13 9380 P82G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 14 5480 P92G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Inspiron 14 5480 P92G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 14 5480 P92G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【台灣製~護視長】22吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列二 新規格),$762,
【台灣製~護視長】23吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$883,
【台灣製~護視長】20吋抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$762,
【台灣製~護視長】22吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列一 新規格),$762,
【台灣製~護視長】25吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$911,
【Ezstick】DELL Inspiron 15 5567 P66F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 5567 P66F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 5567 P66F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5567 P66F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 5567 P66F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【台灣製 24吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列一 新規格),$663,
【台灣製 24吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列二 新規格),$663,
【台灣製 25吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列 新規格),$722,
【台灣製 28吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列 新規格),$807,
【台灣製 27吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列 新規格),$748,
【Ezstick】DELL Inspiron 15 7590 P83F 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 7590 P83F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 7590 P83F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 7590 P83F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 7590 P83F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 7590 P83F 15吋SS 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 13 5390 P114G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 5390 P114G 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL Inspiron 13 5390 P114G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 13 5390 P114G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【AS雅司設計】戴爾香檜2尺衣櫃-60x59x196cm,"$12,299",
【AS雅司設計】戴爾香檜3尺衣櫃附鐵籃-81x59x196cm,"$17,299",
【AS雅司設計】戴爾香檜六斗櫃-106x42x78cm,"$15,200",
【AS雅司設計】戴爾香檜雙人加大6尺床-183x203x105cm,"$21,382",
【AS雅司設計】戴爾香檜雙人5尺床-153x203x105cm,"$18,795",
【AS雅司設計】戴爾香檜床頭櫃-52x42x53cm,"$5,649",
【AS雅司設計】戴爾香檜3尺衣櫃-81x59x196cm,"$16,299",
【Ezstick】DELL G5-5590 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL G7-7590 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL G7-7590 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL G5-5590 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Vostro 5481 P92G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Vostro 5481 P92G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Vostro 5481 P92G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Vostro 5481 P92G 13吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL G3-3590 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL G5-5590 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL G7-7590 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 13 5391 P114G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 13 5391 P114G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 5391 P114G 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL Inspiron 13 5391 P114G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 5391 P114G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 14 5490 P116G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 14 5490 P116G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Inspiron 14 5490 P116G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 14 5490 P116G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 14 5490 P116G 13吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 14 7490 P115G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Inspiron 14 7490 P115G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 14 7490 P115G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 5590 P88F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 5593 P90F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Vostro V14 5490 P116G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 7390 P82G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 5590 P88F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 5590 P88F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5593 P90F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 5593 P90F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Latitude 5401 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Latitude 5401 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Latitude 5501 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Latitude 5501 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Latitude 7400 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Latitude 7400 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Vostro V14 5490 P116G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Vostro V14 5490 P116G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL XPS 13 7390 P82G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL XPS 13 7390 P82G 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL XPS 15 7590 P56F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL XPS 15 7590 P56F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL XPS 15 7590 P56F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL XPS 15 7590 P56F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL G7-7590 P82F 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 5391 P114G 12吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 14 7490 P115G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 14 7490 P115G TOUCH PAD 觸控板 保護貼,$138,
【台灣製~護視長】25吋 抗藍光液晶螢幕 LCD護目鏡(DELL B款 UP2516D),$911,
【台灣製~護視長】25吋 抗藍光液晶螢幕 LCD護目鏡(DELL B款 AW2518H),$911,
【Ezstick】DELL Inspiron 15 5593 P90F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 5593 P90F 15吋S 通用NB保護專案 三合一超值電腦包組(避震包),$305,
【Ezstick】DELL Inspiron 15 5593 P90F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 5593 P90F 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 5593 P90F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5593 P90F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL G3 3590 P89F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【台灣製-護視長】19吋抗藍光液晶螢幕 LCD護目鏡(DELL B款 E1913S),$734,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL D款 P2415Q),$883,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A1款 U2415),$883,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A2款 U24127HWI),$883,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A2款 S2418H),$883,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A2款 P2418D),$883,
【台灣製-護視長】19吋抗藍光液晶螢幕 LCD護目鏡(DELL C款 E1916H),$734,
【台灣製~護視長】22吋 抗藍光液晶螢幕護目鏡(DELL A1款 S2216M),$762,
【台灣製~護視長】25吋 抗藍光液晶螢幕 LCD護目鏡(DELL B款 U2518D),$911,
【Ezstick】DELL Latitude 7410 P119G 13吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 14 5401 P130G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9300 P117G 12吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 5301 P121G 12吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 15 5502 P102F 15吋SS 通用NB保護專案 三合一超值電腦包組(避震包),$305,
【Ezstick】DELL Inspiron 5301 P121G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 5502 P102F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9310 P117G 12吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 13 7306 P125G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Vostro V14 5402 P130G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】Dell Inspiron 3501 3505 P90F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 5510 5515 P106F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】Dell Inspiron 14 5410 5415 P143G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】Dell Inspiron 3501 3505 P90F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 5510 5515 P106F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 7306 P125G 黑色卡夢紋機身貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Vostro V14 5402 P130G 透明菱格紋機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】Dell Latitude 9510 P94F 透明菱格紋機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】Dell Inspiron 14 5410 5415 P143G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】Dell Inspiron 3501 3505 P90F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Vostro V14 5402 P130G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】Dell Latitude 9510 P94F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 5510 5515 P106F 靜電式筆電 螢幕貼(可選鏡面或霧面),$446,
【Ezstick】Dell Inspiron 14 5410 5415 P143G 靜電式筆電 螢幕貼(可選鏡面或霧面),$446,
【Ezstick】Dell Inspiron 3501 3505 P90F 靜電式筆電 螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 7306 P125G 靜電式筆電 螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Vostro V14 5402 P130G 靜電式筆電 螢幕貼(可選鏡面或霧面),$446,
【Ezstick】Dell Latitude 9510 P94F 靜電式筆電 螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5510 5515 P106F 筆電用 防藍光 高清 防窺片(左右防窺),$743,
【Ezstick】Dell Inspiron 14 5410 5415 P143G 筆電用 防藍光 高清 防窺片(左右防窺),$688,
【完美主義】戴爾全網頭靠氣墊腰靠扶手電腦椅/辦公椅/書桌椅,"$4,560",
【Ezstick】DELL Inspiron 15 3511 3515 P112F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 3511 3515 P112F 筆電用 防藍光 防窺片(左右防窺),$743,
【Ezstick】DELL Inspiron 15 3511 3515 P112F 透明菱格紋 機身貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 3511 3515 P112F 筆電用 防藍光 防眩光 360° 防窺片(上下左右防窺),$976,
【Ezstick】DELL Inspiron 15 5510 5515 P106F 筆電用 防藍光 防眩光 360° 防窺片(上下左右防窺),$976,
【Ezstick】Dell Inspiron 14 5410 5415 P143G 筆電用 防藍光 防眩光 360° 防窺片(上下左右防窺),$892,
【Ezstick】DELL ALWA 15M P87F 適用 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】Dell Inspiron 16 plus 7610 P107F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
超譯戴爾．卡耐基,$189,
以小搏大《戴爾的七堂全球行銷課》,$133,
阿德勒教你體貼對方難過心理的回話課：連戴爾．卡內基都深受影響的33句正向說話技巧！,$205,
卡內基：人性的弱點,$221,總銷量>500
精微圈：重建身心靈能量防護網，打造靈性疆界，拒絕能量流失，迎接豐盛（二版）,$379,
卡內基說話之道：如何贏取友誼與影響他人；人際溝通經典《人性的弱點》原版重現全譯本,$355,總銷量>100
你問對問題了嗎？：重組問題框架、精準決策的創新解決工具,$474,總銷量>500
精微體：人體能量解剖全書,$711,總銷量>100
卡內基幫助千萬人的基礎說話課：教你克服內向恐懼，掌握打動人心的重要關鍵！,$331,總銷量>50
卡內基成功學經典：人性的弱點 扭轉人生的勵志聖經，影響全球三億讀者（附全文配樂朗讀線上音檔）,$300,
豐盛顯化法則【全球暢銷經典】,$316,
超譯卡內基：溝通與人際關係的181則箴言,$237,總銷量>100
人性的弱點：卡內基教你贏得友誼並影響他人,$197,
人性的弱點：卡內基經典成功學，一針見血指出人類劣根性,$355,
圖解卡內基人際溝通,$189,
人性的優點：當你懂得欣賞別人，你才真正高人一等,$252,
卡耐基口才訓練,$237,
人性的弱點：暢銷不墜的成功學經典 向卡內基學習交心溝通術與好感度人際學,$252,總銷量>100
卡內基：遠離焦慮，擁有快樂生活,$221,
卡內基快樂學：如何停止憂慮重新生活〔最新全譯本〕,$250,總銷量>100
人性的弱點：卡內基的溝通技巧與人際賽局,$252,總銷量>50
卡內基成功學經典：人性的優點 戰勝憂慮的不朽經典 影響全球三億讀者！（附全文配樂朗讀線上音檔）,$300,
小黃兔和綠薄荷的森林事件簿-注音版,$660,總銷量>50
10-14歲青少年，你在想什麼？,$300,
好棒的小精靈,$221,
因為是爸媽，你值得輕鬆快樂每一天——不需要多做什麼，只要改變觀,$228,
為什麼你無法真正的快樂：運用選擇的力量，找出你的人生使命，成就真實的自己,$276,
侍茶師：160堂經典茶藝課,$379,
人性的弱點（典藏版）,$252,
【赫威．托雷】藝術家公事包,$900,總銷量>100
卡內基認識你的敵人－憂慮【經典新版】,$202,
卡內基說話術：表達自我溝通訓練課，改變億萬讀者命運的暢銷勵志經典,$252,
靈性導師與智者的心靈對話——關於冥想、孤獨、愛與其它的每日靈性練習,$355,
勵志聖經：卡耐基之人性的弱點與優點,$175,
卡內基演講術：開發自我口才訓練課，改變億萬讀者命運的暢銷勵志經典,$237,總銷量>50
人性的弱點.2,$237,
人性的弱點（經典版）,$221,總銷量>100
卡內基人生致勝教典【經典新版】,$202,
如何停止自己不開心,$252,
小鼠拍檔：康柏與小波（中英雙語讀本）,$276,
小鼠拍檔：康柏與小波的遊樂園之旅（中英雙語讀本）,$276,
魅力人生，很簡單：卡內基寫給女人的快樂魔法書,$181,
幸福人生，很容易：成功學大師卡內基寫給女人的快樂魔法書2,$173,
網紅影響力：自媒體如何塑造我們的數位時代,$270,
藍色海豚島,$205,
精微體療癒指南,$513,總銷量>50
法國女人吃美食享瘦的5/2健康輕斷食,$379,
為什麼你不敢面對真實的自己？：停止內疚、恐懼，別再製造藉口，過你想過的生活,$276,
如何跟孩子有效的溝通【20週年紀念版】,$350,
吞下宇宙的男孩,$442,
培養高自尊的對話練習,$350,
大衛就知道他是王：身分――開啟你的命定之鑰,$221,
自由自造：風靡世界200個城市，數百萬人投入，改寫全球製造版圖的創客運動，正在翻轉我們的教育力、工作力,$363,
突破生理限制的顛峰表現：你的「身體智能」，決定你的成就高度,$339,
人性的弱點.3,$237,
為什麼我總是不能勇敢做自己：相信自己的價值 遠離不自覺的弱者行為 你會比昨天更強大,$331,
雪中遇見狼,$237,
卡內基人性揭密教典【經典新版】,$202,
卡內基五分鐘名人秘史【經典新版】,$202,
演講技巧,$221,
人性的弱點,$189,總銷量>100
請你說話：卡內基給商界人士的演說力指導；說服X影響X打動人心的魅力口才；成功企業家的最強外掛,$250,
人性的弱點（增訂版）,$252,總銷量>100
卡內基：人性的優點,$221,總銷量>100
卡內基教你跟誰都能做朋友：讓巴菲特終生受益的一門課,$300,總銷量>100
卡內基：語言的突破,$237,
卡內基筆下的林肯【經典新版】,$202,
【MyBook】豐盛顯化法則【全球暢銷經典】(電子書),$237,
人性的弱點,$347,
卡內基成功學經典：人性的弱點﹝典藏精裝版﹞,$252,總銷量>100
哈雷――世界重機聖經：品牌故事X經典車款，超過570張精美圖片,$782,
終結阿茲海默症：第一個實證可預防、逆轉認知退化的療程,$299,總銷量>50
卡內基成功學經典：人性的弱點典藏有聲精裝版（全文配樂朗讀MP3）：扭轉人生的勵志聖經，影響全球3億讀者！,$331,
懶人也有發財的秘訣VIX,$316,
人性的弱點,$213,總銷量>50
說話教室,$237,
林肯外傳,$237,
人性的弱點【經典新版】,$180,
說話教室,$205,
別讓憂慮謀殺你自己,$213,
語言的藝術,$189,
卡耐基超越自己,$237,
人性的突破,$205,
心理學套書（路西法效應〔修訂版〕＋恨意、精神分析與羅夏克墨漬測驗）,$758,
服務創新時代關鍵報告,$260,
《人性的弱點》75周年最新增訂紀念版,$284,
來自亞伯拉罕的祕密,$205,
圖解卡內基人際溝通,$142,
智慧81－－一日一則•改變生命的奇蹟,$300,
智慧81：一日一則•改變生命的奇蹟,$300,
影響力的本質,$213,
演講技巧,$205,
如何克服憂慮,$237,
說話教室,$213,
優秀來自多一盎司的熱忱,$133,
生活中的瑜伽智慧：活出真我，體驗喜悅人生的十項法則,$276,
卡內基成功學經典：人性的優點典藏有聲精裝版（全文配樂朗讀MP3）,$331,
創新者的DNA（暢銷改版）:5個技巧，簡單學創新,$316,總銷量>50
環遊世界50年:一個瘋狂探險家的全球196國大進擊,$331,
史博蘭迪Ｋ線教戰手冊,$395,
精微圈：身心靈的全能量防護網,$276,
阿爾迪700種神奇致富,$316,
紅盾特別操盤策略,$316,
談論死亡,$252,
下一波繁榮，靠巴西：五大巨變導致世界經濟崩潰中，巴西如何帶動全球復甦？,$315,
行至生命盡頭：對於死亡與瀕死之坦誠、直接與慈悲的思索,$237,
我和巧克力野狼,$205,
偷書賊：建構統治者神話的文化洗劫與記憶消滅,$379,
【牛津通識課．宇宙篇】黑洞：扭曲時空之地,$244,
恨意、精神分析與羅夏克墨漬測驗：紐倫堡審判以來犯罪心理研究的演變,$316,
人性的弱點,$237,
卡耐基演講藝術,$237,
世界妖怪圖鑑 神魔鬼怪,$331,
